"time","n.risk","n.event","n.censor","surv","std.err"
0,26,0,0,1,NA
0.0848733744010951,26,2,0,0.923076923076923,0.0522589400374429
0.331279945242984,24,1,0,0.884615384615385,0.0626562680016194
0.413415468856947,23,2,0,0.807692307692308,0.0772920146604327
0.498288843258042,21,1,0,0.769230769230769,0.0826286393122422
0.503764544832307,20,1,0,0.730769230769231,0.0869892924733086
0.665297741273101,19,2,0,0.653846153846154,0.0933008700072277
0.750171115674196,17,1,0,0.615384615384615,0.0954113342993911
0.829568788501027,16,1,0,0.576923076923077,0.0968906680107267
0.914442162902122,15,1,0,0.538461538461538,0.0977675245080373
0.917180013689254,14,2,0,0.461538461538462,0.0977675245080373
0.919917864476386,12,1,0,0.423076923076923,0.0968906680107267
0.999315537303217,11,1,0,0.384615384615385,0.0954113342993911
1.00205338809035,10,1,0,0.346153846153846,0.0933008700072277
1.33333333333333,9,1,0,0.307692307692308,0.0905151392945465
1.41273100616016,8,1,0,0.269230769230769,0.0869892924733086
1.58247775496235,7,1,0,0.230769230769231,0.0826286393122422
1.74948665297741,6,1,0,0.192307692307692,0.0772920146604327
2.33538672142368,5,1,0,0.153846153846154,0.0707589393082923
4.33401779603012,2,1,2,0.0769230769230769,0.0648867224836133
